reaction,name,pct_st443,pct_others,pct_diff,p
rxn11196_c0,acetyl-CoA carboxylase carboxyl transferase subunit alpha,100.0,35.44,64.56,0.0012514923879041724
rxn00211_c0,UDP-glucose:NAD+ 6-oxidoreductase,0.0,64.56,-64.56,0.0012514923879041724
rxn09973_c0,aldehyde dehydrogenase [NAD(P)+],100.0,35.44,64.56,0.0012514923879041724
rxn01841_c0,Aldehyde:NADP+ oxidoreductase,100.0,35.44,64.56,0.0012514923879041724
rxn04907_c0,Chloral:NAD(P)+ oxidoreductase,100.0,35.44,64.56,0.0012514923879041724
rxn03654_c0,"2-hydroxy-5-methyl-cis,cis-muconic semialdehyde:NAD+ 6-oxidoreductase",100.0,35.44,64.56,0.0012514923879041724
rxn09972_c0,aldehyde dehydrogenase [NAD(P)+],100.0,35.44,64.56,0.0012514923879041724
rxn09958_c0,aldehyde dehydrogenase [NAD(P)+],100.0,35.44,64.56,0.0012514923879041724
rxn11835_c0,3-carbamoyl-2-phenylpropionaldehyde:NAD+ oxidoreductase,100.0,35.44,64.56,0.0012514923879041724
rxn11811_c0,carboxyphosphamide:NADP+ oxidoreductase,100.0,35.44,64.56,0.0012514923879041724
rxn11810_c0,carboxyphosphamide:NAD+ oxidoreductase,100.0,35.44,64.56,0.0012514923879041724
rxn00779_c0,D-glyceraldehyde 3-phosphate:NADP+ oxidoreductase,100.0,35.44,64.56,0.0012514923879041724
rxn03055_c0,5-carboxymethyl-2-hydroxymuconic-semialdehyde:NAD+ oxidoreductase,100.0,35.44,64.56,0.0012514923879041724
rxn08111_c0,aldehyde dehydrogenase [NAD(P)+],100.0,35.44,64.56,0.0012514923879041724
rxn03344_c0,3-Methoxy-4-hydroxyphenylglycolaldehyde:NADP+ oxidoreductase,100.0,35.44,64.56,0.0012514923879041724
rxn25797_c0,RXN-9739.c,0.0,63.29,-63.29,0.0015535767573982829
rxn03359_c0,5-Hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing),0.0,63.29,-63.29,0.0015535767573982829
rxn01836_c0,"4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",0.0,63.29,-63.29,0.0015535767573982829
rxn11875_c0,didemethylcitalopram:oxygen oxidoreductase(deaminating)(flavin-containing),0.0,63.29,-63.29,0.0015535767573982829
rxn01715_c0,Tyramine:oxygen oxidoreductase(deaminating)(flavin-containing),0.0,63.29,-63.29,0.0015535767573982829
rxn02993_c0,"4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",0.0,63.29,-63.29,0.0015535767573982829
rxn03195_c0,N-Methylhistamine:oxygen oxidoreductase (deaminating) (copper-containing),0.0,63.29,-63.29,0.0015535767573982829
rxn01833_c0,aminoacetone:oxygen oxidoreductase(deaminating),0.0,63.29,-63.29,0.0015535767573982829
rxn12039_c0,Demethylcitalopram:oxygen oxidoreductase(deaminating)(flavin-containing),0.0,63.29,-63.29,0.0015535767573982829
rxn03342_c0,3-Methoxytyramine:oxygen oxidoreductase (deaminating) (copper-containing),0.0,63.29,-63.29,0.0015535767573982829
rxn02087_c0,"4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",0.0,63.29,-63.29,0.0015535767573982829
rxn02081_c0,5-Hydroxytryptamine:oxygen oxidoreductase(deaminating)(flavin-containing),0.0,63.29,-63.29,0.0015535767573982829
rxn02826_c0,N-Acetylputrescine:oxygen oxidoreductase(deaminating)(flavin-containing),0.0,63.29,-63.29,0.0015535767573982829
rxn03345_c0,L-Normetanephrine:oxygen oxidoreductase (deaminating) (copper-containing),0.0,63.29,-63.29,0.0015535767573982829
rxn01564_c0,Tryptamine:oxygen oxidoreductase(deaminating),0.0,63.29,-63.29,0.0015535767573982829
rxn03346_c0,L-Metanephrine:oxygen oxidoreductase (deaminating) (flavin-containing),0.0,63.29,-63.29,0.0015535767573982829
rxn01903_c0,Phenethylamine:oxygen oxidoreductase (deaminating),0.0,63.29,-63.29,0.0015535767573982829
rxn12038_c0,Citalopram:oxygen oxidoreductase(deaminating)(flavin-containing),0.0,63.29,-63.29,0.0015535767573982829
rxn09960_c0,aldehyde dehydrogenase [NAD(P)+],100.0,36.71,63.29,0.001553576757398283
rxn15094_c0,(S)-Methylmalonate semialdehyde:NAD+ oxidoreductase (CoA-propanoylating),100.0,36.71,63.29,0.001553576757398283
rxn00671_c0,2-Methyl-3-oxopropanoate:NAD+ oxidoreductase (CoA-propanoylating),100.0,36.71,63.29,0.001553576757398283
rxn02365_c0,"3,4-Dihydroxyphenylacetaldehyde:NADP+ oxidoreductase",100.0,36.71,63.29,0.001553576757398283
EX_cpd00080_e0,Glycerol-3-phosphate-e0 Exchange,0.0,62.03,-62.03,0.0019160780007912153
rxn09956_c0,aldehyde dehydrogenase [NAD(P)+],100.0,37.97,62.03,0.001916078000791216
rxn09177_c0,(R)-4'-Phosphopantothenate:L-cysteine ligase,14.29,75.95,-61.66,0.0021000145447754043
rxn02424_c0,"3-Oxopropanoate:NAD+ oxidoreductase (decarboxylating, CoA-acetylating)",100.0,39.24,60.76,0.0023487407751634254
rxn08083_c0,1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C12:0),28.57,0.0,28.57,0.0057455540355677145
