reaction,ec,kegg
rxn01629_c0,5.4.3.8,R02272
rxn01634_c0,4.2.1.41,R02279
rxn01643_c0,1.2.1.11,R02291
rxn01644_c0,4.2.1.52;4.3.3.7,
rxn01646_c0,2.4.2.1,R02294
rxn01647_c0,2.4.2.1,R02295
rxn01649_c0,2.4.2.1,R02297
rxn01662_c0,1.5.1.9,R02313
rxn01663_c0,1.5.1.10,R02315
rxn01666_c0,3.6.1.15,R02319
rxn01667_c0,2.7.1.40,R02320
rxn01670_c0,3.1.3.5,R02323
rxn01672_c0,3.5.4.13,R02325
rxn01673_c0,2.7.4.6,R02326
rxn01677_c0,3.6.1.15,R02330
rxn01678_c0,2.7.4.6,R02331
rxn01682_c0,4.2.1.20,R02340
rxn01683_c0,3.2.2.1,R02341
rxn01684_c0,2.4.2.1,R08368
rxn01715_c0,1.4.3.21;1.4.3.4;1.4.3.9,R02382
rxn01729_c0,1.2.1.20,R02401
rxn01731_c0,6.2.1.5,R02404
rxn01732_c0,6.2.1.4,R02405
rxn01733_c0,6.2.1.4,R02406
rxn01735_c0,4.4.1.13;4.4.1.6;4.4.1.8,R02408
rxn01739_c0,2.7.1.71,R02412
rxn01740_c0,1.1.1.25,R02413
rxn01741_c0,1.1.1.25,
rxn01753_c0,4.2.1.82,R02429
rxn01757_c0,2.6.1.1,R02433
rxn01767_c0,1.14.11.9,R02444
rxn01782_c0,1.3.1.27,R02463
rxn01791_c0,6.3.2.1,R02473
rxn01799_c0,2.4.2.1,R02484
rxn01816_c0,2.5.1.48,R02508
rxn01828_c0,4.2.1.25,R02522
rxn01833_c0,1.4.3.21;1.4.3.4;1.4.3.9,R02529
rxn01836_c0,1.4.3.21;1.4.3.4;1.4.3.9,R02532
rxn01840_c0,1.2.1.39,R02536
rxn01851_c0,1.1.1.70;1.2.1.3,R02549
rxn01858_c0,3.5.4.4,R02556
rxn01859_c0,2.4.2.1,R02557
rxn01867_c0,1.2.1.8,R02565
rxn01868_c0,1.2.1.8,R02566
rxn01870_c0,4.1.2.13;4.1.2.7,R02568
rxn01879_c0,1.1.1.55,R02259;R02577
rxn01887_c0,1.1.1.195,R02593
rxn01888_c0,2.4.1.111,
rxn01903_c0,1.4.3.21;1.4.3.4;1.4.3.9,R02613
rxn01906_c0,2.6.1.1,R02619
rxn01917_c0,2.7.2.8,R02649
rxn01918_c0,1.2.1.29,R02655
rxn01932_c0,1.11.1.6,
rxn01937_c0,1.1.1.70;1.2.1.3,R02678
