reaction,name
rxn00512_c0,Glycolate:NAD+ oxidoreductase
rxn00513_c0,ITP phosphohydrolase
rxn00514_c0,Inosine 5'-triphosphate pyrophosphohydrolase
rxn00515_c0,ATP:IDP phosphotransferase
rxn00517_c0,ITP:pyruvate 2-O-phosphotransferase
rxn00520_c0,Succinate:CoA ligase (IDP-forming)
rxn00526_c0,L-arogenate:NADP+ oxidoreductase
rxn00527_c0,L-tyrosine:2-oxoglutarate aminotransferase
rxn00532_c0,3-oxopropanoate:NADP+ oxidoreductase (CoA-malonylating)
rxn00533_c0,Acetyl-CoA:carbon-dioxide ligase (ADP-forming)
rxn00534_c0,Acetyl-CoA:malonate CoA-transferase
rxn00536_c0,Ethanol:NADP+ oxidoreductase
rxn00537_c0,2-Phosphonoacetaldehyde phosphonohydrolase
rxn00538_c0,ethanolamine-phosphate phosphate-lyase (deaminating; acetaldehyde-forming)
rxn00539_c0,ethanolamine ammonia-lyase (acetaldehyde-forming)
rxn00540_c0,4-hydroxy-2-oxopentanoate pyruvate-lyase (acetaldehyde-forming)
rxn00541_c0,L-threonine acetaldehyde-lyase (glycine-forming)
rxn00543_c0,ethanol:NAD+ oxidoreductase
rxn00545_c0,ATP:D-fructose-6-phosphate 1-phosphotransferase
rxn00546_c0,D-Mannitol-1-phosphate:NAD+ 5-oxidoreductase
rxn00549_c0,"D-Fructose-1,6-bisphosphate 1-phosphohydrolase"
rxn00552_c0,D-glucosamine-6-phosphate aminohydrolase (ketol isomerizing)
rxn00554_c0,CTP:D-fructose-6-phosphate 1-phosphotransferase
rxn00555_c0,L-glutamine:D-fructose-6-phosphate isomerase (deaminating)
rxn00556_c0,UTP:D-fructose-6-phosphate 1-phosphotransferase
rxn00557_c0,ITP:D-fructose-6-phosphate 1-phosphotransferase
rxn00558_c0,D-glucose-6-phosphate aldose-ketose-isomerase
rxn00560_c0,Urea:carbon-dioxide ligase (ADP-forming)
rxn00565_c0,Sulfur:oxygen oxidoreductase
rxn00566_c0,L-Cysteine hydrogen-sulfide-lyase (deaminating; pyruvate-forming)
rxn00572_c0,nitrite:NADP+ oxidoreductase
rxn00579_c0,UDP-glucose:D-fructose 2-alpha-D-glucosyltransferase
rxn00587_c0,"Catechol:oxygen 2,3-oxidoreductase (decyclizing)"
rxn00595_c0,"Anthranilate,NADPH:oxygen oxidoreductase (1,2-hydroxylating, deaminating, decarboxylating)"
rxn00603_c0,D-Sorbitol 6-phosphate:NADP+ 1-oxidoreductase
