reaction,name
EX_cpd10515_e0,Fe2+-e0 Exchange
EX_cpd10516_e0,fe3-e0 Exchange
EX_cpd11416_c0,EX cpd11416 c0
EX_cpd11422_e0,"1,2-diacyl-sn-glycerol 3-phosphate-e0 Exchange"
EX_cpd11451_e0,mql7-e0 Exchange
EX_cpd11455_e0,ps_BS-e0 Exchange
EX_cpd11456_e0,Phosphatidylethanolamine-e0 Exchange
EX_cpd11464_e0,Butyryl-ACP-e0 Exchange
EX_cpd11494_e0,Acetyl-ACP-e0 Exchange
EX_cpd11574_e0,Molybdate-e0 Exchange
EX_cpd11606_e0,Menaquinone 7-e0 Exchange
EX_cpd11632_e0,hn-e0 Exchange
EX_cpd11640_e0,H2-e0 Exchange
EX_cpd11822_e0,1-Phosphatidyl-myo-inositol-e0 Exchange
EX_cpd11976_e0,Maltodextrin-e0 Exchange
EX_cpd15225_e0,Ceramide-2 Phytosphingosine-e0 Exchange
EX_cpd15237_e0,hexadecenoate-e0 Exchange
EX_cpd15240_e0,hexacosanoate-e0 Exchange
EX_cpd15269_e0,octadecenoate-e0 Exchange
EX_cpd15298_e0,tetradecenoate-e0 Exchange
EX_cpd15494_e0,Maltoheptaose-e0 Exchange
EX_cpd17026_e0,methymenaquinol 7-e0 Exchange
EX_cpd17027_e0,methylmenaquinone 7-e0 Exchange
EX_cpd90003_e0,"starch (n=27, 3xalpha1-6, 23xalpha1-4)-e0 Exchange"
EX_cpd90004_e0,"starch (n=19, 3xalpha1-6, 15xalpha1-4)-e0 Exchange"
EX_cpd90005_e0,Maltooctaose-e0 Exchange
EX_cpd90006_e0,Maltoundecaose-e0 Exchange
EX_cpd90007_e0,Maltohexaose-e0 Exchange
EX_cpd90008_e0,Maltotridecaose-e0 Exchange
EX_cpd90020_e0,Cellulose-e0 Exchange
EX_cpd90021_e0,Xylan-b-1-4-e0 Exchange
EX_cpd90022_e0,Xylooligo-b-1-4-e0 Exchange
bio1,Bacterial Gram-negative biomass reaction
rxn00001_c0,diphosphate phosphohydrolase
rxn00003_c0,pyruvate:pyruvate acetaldehydetransferase (decarboxylating)
rxn00006_c0,hydrogen-peroxide:hydrogen-peroxide oxidoreductase
rxn00010_c0,glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming)
rxn00011_c0,pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)
rxn00012_c0,sucrose:sucrose 1'-beta-D-fructosyltransferase
rxn00019_c0,2-Nitropropane:oxygen 2-oxidoreductase
rxn00023_c0,thiosulfate:ferricytochrome-c oxidoreductase
rxn00029_c0,5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)
rxn00032_c0,Choline:oxygen 1-oxidoreductase
rxn00048_c0,"6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase"
rxn00058_c0,Ferrocytochrome-c:oxygen oxidoreductase
rxn00060_c0,porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)
rxn00062_c0,ATP phosphohydrolase
rxn00068_c0,Fe2+:NAD+ oxidoreductase
rxn00069_c0,L-glutamate:NAD+ oxidoreductase (transaminating)
rxn00070_c0,glutathione:NAD+ oxidoreductase
rxn00076_c0,NAD+ phosphohydrolase
rxn00077_c0,ATP:NAD+ 2'-phosphotransferase
rxn00078_c0,ATP:NADH 2'-phosphotransferase
rxn00085_c0,L-Glutamate:NADP+ oxidoreductase (transaminating)
rxn00086_c0,glutathione:NADP+ oxidoreductase
rxn00088_c0,NADP+ 2'-phosphohydrolase
rxn00097_c0,ATP:AMP phosphotransferase
rxn00100_c0,ATP:dephospho-CoA 3'-phosphotransferase
rxn00102_c0,carbonate hydro-lyase (carbon-dioxide-forming)
rxn00104_c0,polyphosphate kinase
rxn00105_c0,ATP:nicotinamide-nucleotide adenylyltransferase
rxn00106_c0,Triphosphate phosphohydrolase
rxn00107_c0,ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase
rxn00113_c0,"Carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating)"
rxn00117_c0,ATP:UDP phosphotransferase
rxn00119_c0,ATP:UMP phosphotransferase
rxn00120_c0,UTP phosphohydrolase
rxn00121_c0,FAD nucleotidohydrolase
rxn00122_c0,ATP:FMN adenylyltransferase
rxn00126_c0,ATP:L-methionine S-adenosyltransferase
rxn00132_c0,Adenosine 5'-monophosphate phosphohydrolase
rxn00137_c0,"Adenosine 3',5'-bisphosphate 3'-phosphohydrolase"
rxn00138_c0,deamido-NAD+:ammonia ligase (AMP-forming)
rxn00139_c0,AMP:diphosphate phospho-D-ribosyltransferase
rxn00141_c0,S-Adenosyl-L-homocysteine hydrolase
rxn00143_c0,S-Adenosyl-L-homocysteine homocysteinylribohydrolase
rxn00145_c0,(S)-Lactate:ferricytochrome-c 2-oxidoreductase
rxn00146_c0,(R)-Lactate:ferricytochrome-c 2-oxidoreductase
rxn00147_c0,"ATP:pyruvate,water phosphotransferase"
rxn00148_c0,ATP:pyruvate 2-O-phosphotransferase
rxn00149_c0,pyruvaldehyde:NAD+ oxidoreductase
rxn00154_c0,pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating)
rxn00159_c0,(S)-malate:NAD+ oxidoreductase (decarboxylating)
rxn00161_c0,(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating)
rxn00162_c0,oxaloacetate carboxy-lyase (pyruvate-forming)
rxn00165_c0,L-serine ammonia-lyase
rxn00173_c0,acetyl-CoA:phosphate acetyltransferase
rxn00174_c0,malonyl-CoA carboxy-lyase (acetyl-CoA-forming)
rxn00175_c0,Acetate:CoA ligase (AMP-forming)
rxn00176_c0,acetyl adenylate:CoA acetyltransferase
rxn00179_c0,ATP:L-glutamate 5-phosphotransferase
rxn00183_c0,L-Glutamate 5-semialdehyde:NAD+ oxidoreductase
